matchup,p1_name,p2_name,episode,round,round_winner,p1_hp_final,p2_hp_final,p1_hp_ratio,p2_hp_ratio
Curriculum_vs_CPU,Curriculum,CPU,97,1,p2,0,78,0.0,0.4432
Curriculum_vs_CPU,Curriculum,CPU,97,2,p2,0,1,0.0,0.0057
Curriculum_vs_CPU,Curriculum,CPU,98,1,p1,110,0,0.625,0.0
Curriculum_vs_CPU,Curriculum,CPU,98,2,p2,0,82,0.0,0.4659
Curriculum_vs_CPU,Curriculum,CPU,98,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,99,1,p1,95,0,0.5398,0.0
Curriculum_vs_CPU,Curriculum,CPU,99,2,p1,29,0,0.1648,0.0
Curriculum_vs_CPU,Curriculum,CPU,100,1,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,100,2,p2,0,0,0.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,100,3,p1,50,0,0.2841,0.0
Curriculum_vs_CPU,Curriculum,CPU,101,1,p1,111,0,0.6307,0.0
Curriculum_vs_CPU,Curriculum,CPU,101,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,102,1,p2,0,1,0.0,0.0057
Curriculum_vs_CPU,Curriculum,CPU,102,2,p1,124,0,0.7045,0.0
Curriculum_vs_CPU,Curriculum,CPU,102,3,p1,84,0,0.4773,0.0
Curriculum_vs_CPU,Curriculum,CPU,103,1,p2,0,49,0.0,0.2784
Curriculum_vs_CPU,Curriculum,CPU,103,2,p2,0,93,0.0,0.5284
Curriculum_vs_CPU,Curriculum,CPU,104,1,p1,136,0,0.7727,0.0
Curriculum_vs_CPU,Curriculum,CPU,104,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,105,1,p1,33,0,0.1875,0.0
Curriculum_vs_CPU,Curriculum,CPU,105,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,106,1,p2,0,47,0.0,0.267
Curriculum_vs_CPU,Curriculum,CPU,106,2,p1,2,0,0.0114,0.0
Curriculum_vs_CPU,Curriculum,CPU,106,3,p2,0,132,0.0,0.75
Curriculum_vs_CPU,Curriculum,CPU,107,1,p2,0,139,0.0,0.7898
Curriculum_vs_CPU,Curriculum,CPU,107,2,p1,3,0,0.017,0.0
Curriculum_vs_CPU,Curriculum,CPU,107,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,108,1,p2,0,10,0.0,0.0568
Curriculum_vs_CPU,Curriculum,CPU,108,2,p1,38,0,0.2159,0.0
Curriculum_vs_CPU,Curriculum,CPU,108,3,p2,0,45,0.0,0.2557
Curriculum_vs_CPU,Curriculum,CPU,109,1,p2,0,110,0.0,0.625
Curriculum_vs_CPU,Curriculum,CPU,109,2,p2,0,77,0.0,0.4375
Curriculum_vs_CPU,Curriculum,CPU,110,1,p1,22,0,0.125,0.0
Curriculum_vs_CPU,Curriculum,CPU,110,2,p2,0,71,0.0,0.4034
Curriculum_vs_CPU,Curriculum,CPU,110,3,p1,135,0,0.767,0.0
Curriculum_vs_CPU,Curriculum,CPU,111,1,p2,0,112,0.0,0.6364
Curriculum_vs_CPU,Curriculum,CPU,111,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,111,3,p1,61,0,0.3466,0.0
Curriculum_vs_CPU,Curriculum,CPU,112,1,p1,82,0,0.4659,0.0
Curriculum_vs_CPU,Curriculum,CPU,112,2,p1,141,0,0.8011,0.0
Curriculum_vs_CPU,Curriculum,CPU,113,1,p2,0,176,0.0,1.0
Curriculum_vs_CPU,Curriculum,CPU,113,2,p2,0,127,0.0,0.7216
Curriculum_vs_CPU,Curriculum,CPU,114,1,p1,130,0,0.7386,0.0
Curriculum_vs_CPU,Curriculum,CPU,114,2,p2,0,7,0.0,0.0398
Curriculum_vs_CPU,Curriculum,CPU,114,3,p2,0,104,0.0,0.5909
Curriculum_vs_CPU,Curriculum,CPU,115,1,p2,0,68,0.0,0.3864
Curriculum_vs_CPU,Curriculum,CPU,115,2,p2,0,106,0.0,0.6023
Curriculum_vs_CPU,Curriculum,CPU,116,1,p2,0,15,0.0,0.0852
Curriculum_vs_CPU,Curriculum,CPU,116,2,p1,136,0,0.7727,0.0
Curriculum_vs_CPU,Curriculum,CPU,116,3,p1,109,0,0.6193,0.0
Curriculum_vs_CPU,Curriculum,CPU,117,1,p1,124,0,0.7045,0.0
Curriculum_vs_CPU,Curriculum,CPU,117,2,p2,0,58,0.0,0.3295
Curriculum_vs_CPU,Curriculum,CPU,117,3,p2,0,77,0.0,0.4375
Curriculum_vs_CPU,Curriculum,CPU,118,1,p2,0,104,0.0,0.5909
Curriculum_vs_CPU,Curriculum,CPU,118,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,118,3,p2,0,1,0.0,0.0057
Curriculum_vs_CPU,Curriculum,CPU,119,1,p2,0,58,0.0,0.3295
Curriculum_vs_CPU,Curriculum,CPU,119,2,p1,110,0,0.625,0.0
Curriculum_vs_CPU,Curriculum,CPU,119,3,p2,0,11,0.0,0.0625
Curriculum_vs_CPU,Curriculum,CPU,120,1,p2,0,7,0.0,0.0398
Curriculum_vs_CPU,Curriculum,CPU,120,2,p2,0,152,0.0,0.8636
Curriculum_vs_CPU,Curriculum,CPU,121,1,p2,0,99,0.0,0.5625
Curriculum_vs_CPU,Curriculum,CPU,121,2,p1,163,0,0.9261,0.0
Curriculum_vs_CPU,Curriculum,CPU,121,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,122,1,p2,0,87,0.0,0.4943
Curriculum_vs_CPU,Curriculum,CPU,122,2,p2,0,53,0.0,0.3011
Curriculum_vs_CPU,Curriculum,CPU,123,1,p1,7,0,0.0398,0.0
Curriculum_vs_CPU,Curriculum,CPU,123,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,124,1,p1,70,0,0.3977,0.0
Curriculum_vs_CPU,Curriculum,CPU,124,2,p1,137,0,0.7784,0.0
Curriculum_vs_CPU,Curriculum,CPU,125,1,p1,33,0,0.1875,0.0
Curriculum_vs_CPU,Curriculum,CPU,125,2,p1,89,0,0.5057,0.0
Curriculum_vs_CPU,Curriculum,CPU,126,1,p1,74,0,0.4205,0.0
